,,District,Commodity,Price (Rs/Quintal),Unit,Season
,,Gumla,Wheat,1671.98,Rs/Quintal,Rabi
,,Hazaribagh,Arhar (Tur),6675.6,Rs/Quintal,Rabi
,,Hazaribagh,Gram (Chana),5651.07,Rs/Quintal,Rabi
,,Hazaribagh,Maize,1786.51,Rs/Quintal,Rabi
,,Hazaribagh,Mustard,6038.86,Rs/Quintal,Rabi
,,Hazaribagh,Onion,1944.14,Rs/Quintal,Rabi
,,Hazaribagh,Potato,1647.53,Rs/Quintal,Rabi
,,Hazaribagh,Rice (Paddy),1635.75,Rs/Quintal,Rabi
,,Hazaribagh,Sugarcane,306.38,Rs/Quintal,Rabi
,,Hazaribagh,Tomato,2187.7,Rs/Quintal,Rabi
,,Hazaribagh,Wheat,1670.05,Rs/Quintal,Rabi
,,Jamshedpur,Arhar (Tur),6924.53,Rs/Quintal,Rabi
,,Jamshedpur,Gram (Chana),5941.51,Rs/Quintal,Rabi
,,Jamshedpur,Maize,1828,Rs/Quintal,Rabi
,,Jamshedpur,Mustard,6307.47,Rs/Quintal,Rabi
,,Jamshedpur,Onion,2041.83,Rs/Quintal,Rabi
,,Jamshedpur,Potato,1755.41,Rs/Quintal,Rabi
,,Jamshedpur,Rice (Paddy),1675.26,Rs/Quintal,Rabi
,,Jamshedpur,Sugarcane,323.9,Rs/Quintal,Rabi
,,Jamshedpur,Tomato,2294.42,Rs/Quintal,Rabi
,,Jamshedpur,Wheat,1824.27,Rs/Quintal,Rabi
,,Jamtara,Arhar (Tur),6535.13,Rs/Quintal,Rabi
,,Jamtara,Gram (Chana),5724.94,Rs/Quintal,Rabi
,,Jamtara,Maize,1776.27,Rs/Quintal,Rabi
,,Jamtara,Mustard,6134.11,Rs/Quintal,Rabi
,,Jamtara,Onion,2035.98,Rs/Quintal,Rabi
,,Jamtara,Potato,1682.47,Rs/Quintal,Rabi
,,Jamtara,Rice (Paddy),1629.55,Rs/Quintal,Rabi
,,Jamtara,Sugarcane,303.14,Rs/Quintal,Rabi
,,Jamtara,Tomato,2174.19,Rs/Quintal,Rabi
,,Jamtara,Wheat,1721.71,Rs/Quintal,Rabi
,,Khunti,Arhar (Tur),6531.68,Rs/Quintal,Rabi
,,Khunti,Gram (Chana),5798.76,Rs/Quintal,Rabi
,,Khunti,Maize,1733.5,Rs/Quintal,Rabi
,,Khunti,Mustard,6118.28,Rs/Quintal,Rabi
,,Khunti,Onion,1986.15,Rs/Quintal,Rabi
,,Khunti,Potato,1683.21,Rs/Quintal,Rabi
,,Khunti,Rice (Paddy),1635.39,Rs/Quintal,Rabi
,,Khunti,Sugarcane,307.15,Rs/Quintal,Rabi
,,Khunti,Tomato,2163.75,Rs/Quintal,Rabi
,,Khunti,Wheat,1713.94,Rs/Quintal,Rabi
,,Koderma,Arhar (Tur),6612.79,Rs/Quintal,Rabi
,,Koderma,Gram (Chana),5666.85,Rs/Quintal,Rabi
,,Koderma,Maize,1726.43,Rs/Quintal,Rabi
,,Koderma,Mustard,5978.34,Rs/Quintal,Rabi
,,Koderma,Onion,2005.8,Rs/Quintal,Rabi
,,Koderma,Potato,1681.93,Rs/Quintal,Rabi
,,Koderma,Rice (Paddy),1649.99,Rs/Quintal,Rabi
,,Koderma,Sugarcane,304.21,Rs/Quintal,Rabi
,,Koderma,Tomato,2169.91,Rs/Quintal,Rabi
,,Koderma,Wheat,1722.14,Rs/Quintal,Rabi
,,Lohardaga,Arhar (Tur),6648.39,Rs/Quintal,Rabi
,,Lohardaga,Gram (Chana),5746.28,Rs/Quintal,Rabi
,,Lohardaga,Maize,1725.12,Rs/Quintal,Rabi
,,Lohardaga,Mustard,6014.17,Rs/Quintal,Rabi
,,Lohardaga,Onion,2032.84,Rs/Quintal,Rabi
,,Lohardaga,Potato,1671.98,Rs/Quintal,Rabi
,,Lohardaga,Rice (Paddy),1633.71,Rs/Quintal,Rabi
,,Lohardaga,Sugarcane,307.3,Rs/Quintal,Rabi
,,Lohardaga,Tomato,2184.38,Rs/Quintal,Rabi
,,Lohardaga,Wheat,1700.82,Rs/Quintal,Rabi
,,Pakur,Arhar (Tur),6297.42,Rs/Quintal,Rabi
,,Pakur,Gram (Chana),5422.43,Rs/Quintal,Rabi
,,Pakur,Maize,1666.65,Rs/Quintal,Rabi
,,Pakur,Mustard,5702.42,Rs/Quintal,Rabi
,,Pakur,Onion,1916.53,Rs/Quintal,Rabi
,,Pakur,Potato,1607.89,Rs/Quintal,Rabi
,,Pakur,Rice (Paddy),1552.06,Rs/Quintal,Rabi
,,Pakur,Sugarcane,291.66,Rs/Quintal,Rabi
,,Pakur,Tomato,2033.7,Rs/Quintal,Rabi
,,Pakur,Wheat,1623.58,Rs/Quintal,Rabi
,,Palamu,Arhar (Tur),6594.93,Rs/Quintal,Rabi
,,Palamu,Gram (Chana),5762.53,Rs/Quintal,Rabi
,,Palamu,Maize,1783.14,Rs/Quintal,Rabi
,,Palamu,Mustard,6034.84,Rs/Quintal,Rabi
,,Palamu,Onion,2004.77,Rs/Quintal,Rabi
,,Palamu,Potato,1607.75,Rs/Quintal,Rabi
,,Palamu,Rice (Paddy),1630.05,Rs/Quintal,Rabi
,,Palamu,Sugarcane,308.84,Rs/Quintal,Rabi
,,Palamu,Tomato,2206.42,Rs/Quintal,Rabi
,,Palamu,Wheat,1741.31,Rs/Quintal,Rabi
,,Ramgarh,Arhar (Tur),6683.21,Rs/Quintal,Rabi
,,Ramgarh,Gram (Chana),5718.68,Rs/Quintal,Rabi
,,Ramgarh,Maize,1727.82,Rs/Quintal,Rabi
,,Ramgarh,Mustard,6032.75,Rs/Quintal,Rabi
,,Ramgarh,Onion,1974.58,Rs/Quintal,Rabi
,,Ramgarh,Potato,1667.01,Rs/Quintal,Rabi
,,Ramgarh,Rice (Paddy),1595.48,Rs/Quintal,Rabi
,,Ramgarh,Sugarcane,308.43,Rs/Quintal,Rabi
,,Ramgarh,Tomato,2166.11,Rs/Quintal,Rabi
,,Ramgarh,Wheat,1746.06,Rs/Quintal,Rabi
,,Ranchi,Arhar (Tur),6835.31,Rs/Quintal,Rabi
,,Ranchi,Gram (Chana),5961.27,Rs/Quintal,Rabi
,,Ranchi,Maize,1842.53,Rs/Quintal,Rabi
,,Ranchi,Mustard,6359.02,Rs/Quintal,Rabi
,,Ranchi,Onion,2120.7,Rs/Quintal,Rabi
,,Ranchi,Potato,1763.08,Rs/Quintal,Rabi
,,Ranchi,Rice (Paddy),1709.37,Rs/Quintal,Rabi
,,Ranchi,Sugarcane,326.69,Rs/Quintal,Rabi
,,Ranchi,Tomato,2383.15,Rs/Quintal,Rabi
,,Ranchi,Wheat,1814.42,Rs/Quintal,Rabi
,,Sahebganj,Arhar (Tur),6688.21,Rs/Quintal,Rabi
,,Sahebganj,Gram (Chana),5651.85,Rs/Quintal,Rabi
,,Sahebganj,Maize,1757.86,Rs/Quintal,Rabi
,,Sahebganj,Mustard,6138.21,Rs/Quintal,Rabi
,,Sahebganj,Onion,1982.71,Rs/Quintal,Rabi
,,Sahebganj,Potato,1656.28,Rs/Quintal,Rabi
,,Sahebganj,Rice (Paddy),1648.46,Rs/Quintal,Rabi
,,Sahebganj,Sugarcane,310.4,Rs/Quintal,Rabi
,,Sahebganj,Tomato,2242.31,Rs/Quintal,Rabi
,,Sahebganj,Wheat,1739.48,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Arhar (Tur),6550.02,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Gram (Chana),5717.31,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Maize,1749.19,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Mustard,6011.51,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Onion,1925.89,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Potato,1699.27,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Rice (Paddy),1605.24,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Sugarcane,309.37,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Tomato,2163.92,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Wheat,1742.1,Rs/Quintal,Rabi
,,Simdega,Arhar (Tur),6304.56,Rs/Quintal,Rabi
,,Simdega,Gram (Chana),5393.17,Rs/Quintal,Rabi
,,Simdega,Maize,1681.31,Rs/Quintal,Rabi
,,Simdega,Mustard,5689.16,Rs/Quintal,Rabi
,,Simdega,Onion,1911.12,Rs/Quintal,Rabi
,,Simdega,Potato,1558.94,Rs/Quintal,Rabi
,,Simdega,Rice (Paddy),1535.53,Rs/Quintal,Rabi
,,Simdega,Sugarcane,290.09,Rs/Quintal,Rabi
,,Simdega,Tomato,2089.1,Rs/Quintal,Rabi
,,Simdega,Wheat,1648.18,Rs/Quintal,Rabi
,,West Singhbhum,Arhar (Tur),6537.73,Rs/Quintal,Rabi
,,West Singhbhum,Gram (Chana),5764.09,Rs/Quintal,Rabi
,,West Singhbhum,Maize,1763.63,Rs/Quintal,Rabi
,,West Singhbhum,Mustard,6054.67,Rs/Quintal,Rabi
,,West Singhbhum,Onion,1990.82,Rs/Quintal,Rabi
,,West Singhbhum,Potato,1681.14,Rs/Quintal,Rabi
,,West Singhbhum,Rice (Paddy),1606.97,Rs/Quintal,Rabi
,,West Singhbhum,Sugarcane,309.55,Rs/Quintal,Rabi
,,West Singhbhum,Tomato,2276.93,Rs/Quintal,Rabi
,,West Singhbhum,Wheat,1709.17,Rs/Quintal,Rabi
,,Bokaro,Arhar (Tur),6087.33,Rs/Quintal,Rabi
,,Bokaro,Gram (Chana),5236.66,Rs/Quintal,Rabi
,,Bokaro,Maize,1590.54,Rs/Quintal,Rabi
,,Bokaro,Mustard,5466.64,Rs/Quintal,Rabi
,,Bokaro,Onion,1952.13,Rs/Quintal,Rabi
,,Bokaro,Potato,1664,Rs/Quintal,Rabi
,,Bokaro,Rice (Paddy),1772.75,Rs/Quintal,Rabi
,,Bokaro,Sugarcane,279.59,Rs/Quintal,Rabi
,,Bokaro,Tomato,2244.16,Rs/Quintal,Rabi
,,Bokaro,Wheat,1878.62,Rs/Quintal,Rabi
,,Chatra,Arhar (Tur),6093.09,Rs/Quintal,Rabi
,,Chatra,Gram (Chana),5197.36,Rs/Quintal,Rabi
,,Chatra,Maize,1623.01,Rs/Quintal,Rabi
,,Chatra,Mustard,5553.61,Rs/Quintal,Rabi
,,Chatra,Onion,1923.44,Rs/Quintal,Rabi
,,Chatra,Potato,1685.17,Rs/Quintal,Rabi
,,Chatra,Rice (Paddy),1792.23,Rs/Quintal,Rabi
,,Chatra,Sugarcane,277.76,Rs/Quintal,Rabi
,,Chatra,Tomato,2159.02,Rs/Quintal,Rabi
,,Chatra,Wheat,1925.79,Rs/Quintal,Rabi
,,Deoghar,Arhar (Tur),5994.65,Rs/Quintal,Rabi
,,Deoghar,Gram (Chana),5172.93,Rs/Quintal,Rabi
,,Deoghar,Maize,1580.51,Rs/Quintal,Rabi
,,Deoghar,Mustard,5428.09,Rs/Quintal,Rabi
,,Deoghar,Onion,2006.95,Rs/Quintal,Rabi
,,Deoghar,Potato,1612.07,Rs/Quintal,Rabi
,,Deoghar,Rice (Paddy),1813.2,Rs/Quintal,Rabi
,,Deoghar,Sugarcane,275.14,Rs/Quintal,Rabi
,,Deoghar,Tomato,2241.95,Rs/Quintal,Rabi
,,Deoghar,Wheat,1911.67,Rs/Quintal,Rabi
,,Dhanbad,Arhar (Tur),6284.43,Rs/Quintal,Rabi
,,Dhanbad,Gram (Chana),5464.66,Rs/Quintal,Rabi
,,Dhanbad,Maize,1648.3,Rs/Quintal,Rabi
,,Dhanbad,Mustard,5717.16,Rs/Quintal,Rabi
,,Dhanbad,Onion,2133.46,Rs/Quintal,Rabi
,,Dhanbad,Potato,1754.57,Rs/Quintal,Rabi
,,Dhanbad,Rice (Paddy),1875.76,Rs/Quintal,Rabi
,,Dhanbad,Sugarcane,295.39,Rs/Quintal,Rabi
,,Dhanbad,Tomato,2332.55,Rs/Quintal,Rabi
,,Dhanbad,Wheat,1972.55,Rs/Quintal,Rabi
,,Dumka,Arhar (Tur),5684.6,Rs/Quintal,Rabi
,,Dumka,Gram (Chana),4974.95,Rs/Quintal,Rabi
,,Dumka,Maize,1553.97,Rs/Quintal,Rabi
,,Dumka,Mustard,5256.54,Rs/Quintal,Rabi
,,Dumka,Onion,1936.29,Rs/Quintal,Rabi
,,Dumka,Potato,1575.42,Rs/Quintal,Rabi
,,Dumka,Rice (Paddy),1735.58,Rs/Quintal,Rabi
,,Dumka,Sugarcane,263.46,Rs/Quintal,Rabi
,,Dumka,Tomato,2103.47,Rs/Quintal,Rabi
,,Dumka,Wheat,1782.1,Rs/Quintal,Rabi
,,East Singhbhum,Arhar (Tur),6026.23,Rs/Quintal,Rabi
,,East Singhbhum,Gram (Chana),5189.44,Rs/Quintal,Rabi
,,East Singhbhum,Maize,1618.16,Rs/Quintal,Rabi
,,East Singhbhum,Mustard,5424.21,Rs/Quintal,Rabi
,,East Singhbhum,Onion,1983.74,Rs/Quintal,Rabi
,,East Singhbhum,Potato,1644.37,Rs/Quintal,Rabi
,,East Singhbhum,Rice (Paddy),1811.56,Rs/Quintal,Rabi
,,East Singhbhum,Sugarcane,284.13,Rs/Quintal,Rabi
,,East Singhbhum,Tomato,2247.38,Rs/Quintal,Rabi
,,East Singhbhum,Wheat,1928.75,Rs/Quintal,Rabi
,,Garhwa,Arhar (Tur),5905.8,Rs/Quintal,Rabi
,,Garhwa,Gram (Chana),5146.41,Rs/Quintal,Rabi
,,Garhwa,Maize,1607.23,Rs/Quintal,Rabi
,,Garhwa,Mustard,5478.24,Rs/Quintal,Rabi
,,Garhwa,Onion,1965.49,Rs/Quintal,Rabi
,,Garhwa,Potato,1602.7,Rs/Quintal,Rabi
,,Garhwa,Rice (Paddy),1770.35,Rs/Quintal,Rabi
,,Garhwa,Sugarcane,275.82,Rs/Quintal,Rabi
,,Garhwa,Tomato,2222.84,Rs/Quintal,Rabi
,,Garhwa,Wheat,1936.27,Rs/Quintal,Rabi
,,Giridih,Arhar (Tur),5991.66,Rs/Quintal,Rabi
,,Giridih,Gram (Chana),5154.1,Rs/Quintal,Rabi
,,Giridih,Maize,1586,Rs/Quintal,Rabi
,,Giridih,Mustard,5579.01,Rs/Quintal,Rabi
,,Giridih,Onion,1920.94,Rs/Quintal,Rabi
,,Giridih,Potato,1687.93,Rs/Quintal,Rabi
,,Giridih,Rice (Paddy),1805.02,Rs/Quintal,Rabi
,,Giridih,Sugarcane,280.53,Rs/Quintal,Rabi
,,Giridih,Tomato,2232.57,Rs/Quintal,Rabi
,,Giridih,Wheat,1917.3,Rs/Quintal,Rabi
,,Godda,Arhar (Tur),6084.78,Rs/Quintal,Rabi
,,Godda,Gram (Chana),5269.39,Rs/Quintal,Rabi
,,Godda,Maize,1614.49,Rs/Quintal,Rabi
,,Godda,Mustard,5500.08,Rs/Quintal,Rabi
,,Godda,Onion,1934.92,Rs/Quintal,Rabi
,,Godda,Potato,1690.84,Rs/Quintal,Rabi
,,Godda,Rice (Paddy),1779.42,Rs/Quintal,Rabi
,,Godda,Sugarcane,279.32,Rs/Quintal,Rabi
,,Godda,Tomato,2169.22,Rs/Quintal,Rabi
,,Godda,Wheat,1896.04,Rs/Quintal,Rabi
,,Gumla,Arhar (Tur),5921.62,Rs/Quintal,Rabi
,,Gumla,Gram (Chana),5250.65,Rs/Quintal,Rabi
,,Gumla,Maize,1625.48,Rs/Quintal,Rabi
,,Gumla,Mustard,5430.76,Rs/Quintal,Rabi
,,Gumla,Onion,1967.96,Rs/Quintal,Rabi
,,Gumla,Potato,1622.76,Rs/Quintal,Rabi
,,Gumla,Rice (Paddy),1828.57,Rs/Quintal,Rabi
,,Gumla,Sugarcane,277.65,Rs/Quintal,Rabi
,,Gumla,Tomato,2258.3,Rs/Quintal,Rabi
,,Gumla,Wheat,1918.93,Rs/Quintal,Rabi
,,Hazaribagh,Arhar (Tur),6089.39,Rs/Quintal,Rabi
,,Hazaribagh,Gram (Chana),5241.7,Rs/Quintal,Rabi
,,Hazaribagh,Maize,1623.22,Rs/Quintal,Rabi
,,Hazaribagh,Mustard,5503.16,Rs/Quintal,Rabi
,,Hazaribagh,Onion,1957.41,Rs/Quintal,Rabi
,,Hazaribagh,Potato,1654.98,Rs/Quintal,Rabi
,,Hazaribagh,Rice (Paddy),1802.36,Rs/Quintal,Rabi
,,Hazaribagh,Sugarcane,280.88,Rs/Quintal,Rabi
,,Hazaribagh,Tomato,2153.89,Rs/Quintal,Rabi
,,Hazaribagh,Wheat,1885.93,Rs/Quintal,Rabi
,,Jamshedpur,Arhar (Tur),6356.92,Rs/Quintal,Rabi
,,Jamshedpur,Gram (Chana),5448.97,Rs/Quintal,Rabi
,,Jamshedpur,Maize,1654.26,Rs/Quintal,Rabi
,,Jamshedpur,Mustard,5851.19,Rs/Quintal,Rabi
,,Jamshedpur,Onion,2072.83,Rs/Quintal,Rabi
,,Jamshedpur,Potato,1749.84,Rs/Quintal,Rabi
,,Jamshedpur,Rice (Paddy),1897.87,Rs/Quintal,Rabi
,,Jamshedpur,Sugarcane,289.51,Rs/Quintal,Rabi
,,Jamshedpur,Tomato,2284.29,Rs/Quintal,Rabi
,,Jamshedpur,Wheat,1960.67,Rs/Quintal,Rabi
,,Jamtara,Arhar (Tur),5926.43,Rs/Quintal,Rabi
,,Jamtara,Gram (Chana),5266.16,Rs/Quintal,Rabi
,,Jamtara,Maize,1571.31,Rs/Quintal,Rabi
,,Jamtara,Mustard,5554.83,Rs/Quintal,Rabi
,,Jamtara,Onion,2023.22,Rs/Quintal,Rabi
,,Jamtara,Potato,1648.18,Rs/Quintal,Rabi
,,Jamtara,Rice (Paddy),1820.3,Rs/Quintal,Rabi
,,Jamtara,Sugarcane,280.37,Rs/Quintal,Rabi
,,Jamtara,Tomato,2138.43,Rs/Quintal,Rabi
,,Jamtara,Wheat,1884.71,Rs/Quintal,Rabi
,,Khunti,Arhar (Tur),6010.17,Rs/Quintal,Rabi
,,Khunti,Gram (Chana),5266.07,Rs/Quintal,Rabi
,,Khunti,Maize,1633.12,Rs/Quintal,Rabi
,,Khunti,Mustard,5565.52,Rs/Quintal,Rabi
,,Khunti,Onion,1966.03,Rs/Quintal,Rabi
,,Khunti,Potato,1649.84,Rs/Quintal,Rabi
,,Khunti,Rice (Paddy),1807.52,Rs/Quintal,Rabi
,,Khunti,Sugarcane,284.34,Rs/Quintal,Rabi
,,Khunti,Tomato,2253.56,Rs/Quintal,Rabi
,,Khunti,Wheat,1934.21,Rs/Quintal,Rabi
,,Koderma,Arhar (Tur),5943.59,Rs/Quintal,Rabi
,,Koderma,Gram (Chana),5217.16,Rs/Quintal,Rabi
,,Koderma,Maize,1575.67,Rs/Quintal,Rabi
,,Koderma,Mustard,5549.05,Rs/Quintal,Rabi
,,Koderma,Onion,1929.12,Rs/Quintal,Rabi
,,Koderma,Potato,1696.47,Rs/Quintal,Rabi
,,Koderma,Rice (Paddy),1791,Rs/Quintal,Rabi
,,Koderma,Sugarcane,284.84,Rs/Quintal,Rabi
,,Koderma,Tomato,2228.38,Rs/Quintal,Rabi
,,Koderma,Wheat,1920.34,Rs/Quintal,Rabi
,,Lohardaga,Arhar (Tur),6034.13,Rs/Quintal,Rabi
,,Lohardaga,Gram (Chana),5172.83,Rs/Quintal,Rabi
,,Lohardaga,Maize,1629.79,Rs/Quintal,Rabi
,,Lohardaga,Mustard,5508.63,Rs/Quintal,Rabi
,,Lohardaga,Onion,2001.28,Rs/Quintal,Rabi
,,Lohardaga,Potato,1630.03,Rs/Quintal,Rabi
,,Lohardaga,Rice (Paddy),1788.82,Rs/Quintal,Rabi
,,Lohardaga,Sugarcane,280.8,Rs/Quintal,Rabi
,,Lohardaga,Tomato,2167.3,Rs/Quintal,Rabi
,,Lohardaga,Wheat,1906.13,Rs/Quintal,Rabi
,,Pakur,Arhar (Tur),5652.39,Rs/Quintal,Rabi
,,Pakur,Gram (Chana),4861.55,Rs/Quintal,Rabi
,,Pakur,Maize,1504.37,Rs/Quintal,Rabi
,,Pakur,Mustard,5153.5,Rs/Quintal,Rabi
,,Pakur,Onion,1924.28,Rs/Quintal,Rabi
,,Pakur,Potato,1572.06,Rs/Quintal,Rabi
,,Pakur,Rice (Paddy),1692.22,Rs/Quintal,Rabi
,,Pakur,Sugarcane,267.21,Rs/Quintal,Rabi
,,Pakur,Tomato,2030.39,Rs/Quintal,Rabi
,,Pakur,Wheat,1837.43,Rs/Quintal,Rabi
,,Palamu,Arhar (Tur),5951.84,Rs/Quintal,Rabi
,,Palamu,Gram (Chana),5203.41,Rs/Quintal,Rabi
,,Palamu,Maize,1603.35,Rs/Quintal,Rabi
,,Palamu,Mustard,5447.23,Rs/Quintal,Rabi
,,Palamu,Onion,1927.71,Rs/Quintal,Rabi
,,Palamu,Potato,1628.57,Rs/Quintal,Rabi
,,Palamu,Rice (Paddy),1829.27,Rs/Quintal,Rabi
,,Palamu,Sugarcane,281.96,Rs/Quintal,Rabi
,,Palamu,Tomato,2142.14,Rs/Quintal,Rabi
,,Palamu,Wheat,1909.01,Rs/Quintal,Rabi
,,Ramgarh,Arhar (Tur),5936.3,Rs/Quintal,Rabi
,,Ramgarh,Gram (Chana),5134.6,Rs/Quintal,Rabi
